FRED Graph Observations,,,,,,
Federal Reserve Economic Data,,,,,,
Link: https://fred.stlouisfed.org,,,,,,
Help: https://fred.stlouisfed.org/help-faq,,,,,,
Economic Research Division,,,,,,
Federal Reserve Bank of St. Louis,,,,,,
,,,,,,
CATEPUINDXM,"Economic Policy Uncertainty Index: Categorical Index: Overall, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTRADE,"Economic Policy Uncertainty Index: Categorical Index: Trade policy, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUSOVDEBT,"Economic Policy Uncertainty Index: Categorical Index: Sovereign debt, currency crises, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUTAXES,"Economic Policy Uncertainty Index: Categorical Index: Taxes, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUHEALTHCARE,"Economic Policy Uncertainty Index: Categorical Index: Health care, Index, Monthly, Not Seasonally Adjusted",,,,,
EPUREG,"Economic Policy Uncertainty Index: Categorical Index: Regulation, Index, Monthly, Not Seasonally Adjusted",,,,,
,,,,,,
Frequency: Monthly,,,,,,
observation_date,CATEPUINDXM,EPUTRADE,EPUSOVDEBT,EPUTAXES,EPUHEALTHCARE,EPUREG
1993-11-01,100.265778296630000,1023.722029318790000,19.6126802483836000,65.537763399378900,152.401564152686000,92.151291633144400
1993-12-01,87.490976995430200,490.477370499277000,19.3956861153634000,66.252936693053100,102.927588610419000,61.306801782620400
1994-01-01,91.354134627306000,200.360258442532000,39.8713242459059000,88.082530856126000,194.583725067490000,71.528932598616800
1994-02-01,77.525470593076400,186.153058170758000,41.0131300098126000,60.149520437233900,93.276615697663800,54.307073767955400
1994-03-01,84.146535458826100,269.638790249624000,36.1605734466032000,46.319787988408900,83.953734088209900,60.238161683178400
1994-04-01,106.370998162147000,349.282799755132000,37.8018552370282000,61.054057360668800,98.510933039292200,88.807081492811200
1994-05-01,110.158189501319000,278.422424682648000,109.6322630012020000,55.630522574847500,88.307162165144900,82.730335858604500
1994-06-01,77.080120466901800,202.061291395913000,188.8643374658710000,49.787516917794900,114.543001037850000,70.991184970152100
1994-07-01,87.789144048658800,310.550691297028000,57.4730871555163000,42.678257582198100,107.110958759686000,94.923349405862100
1994-08-01,87.747344103582400,225.470518727441000,56.3884386801239000,46.757983836022500,163.868420018272000,80.286145613248800
1994-09-01,93.180857098209200,161.356854573001000,0.0000000000000000,52.015189053637300,94.327171982929000,103.932208333628000
1994-10-01,80.181963151026200,216.922610147206000,52.8230233563932000,75.835429010752000,110.124654658694000,75.209689152437900
1994-11-01,116.136446118846000,629.132804329114000,18.3070024910843000,116.231946219165000,147.460190411300000,120.423086787085000
1994-12-01,87.646263960201800,364.089844875903000,112.3024784327240000,83.393364422934300,81.589551580336900,92.740166980838700
1995-01-01,131.654069333777000,434.914704518966000,626.0249576341820000,124.187352453647000,132.207724330066000,152.800717155910000
1995-02-01,130.356680602198000,207.747946206825000,320.3963194343790000,105.664159584788000,67.867338433585100,189.986347639569000
1995-03-01,96.358621619402300,180.467637808862000,147.3478153753020000,83.886569981376900,99.293264595916800,159.443872056365000
1995-04-01,69.777283694257800,56.218518790032000,69.3617697147158000,57.301018234546900,70.658962055358500,96.288699276212400
1995-05-01,63.307577970871600,114.880247260230000,50.6206942044574000,51.999251607203000,49.568657848237800,73.515481745779600
1995-06-01,94.561294398989300,123.294693689542000,224.7221247965720000,69.316782309298800,70.438412551419400,85.650965563060000
1995-07-01,89.351362891247500,46.370032573467800,53.6351431140042000,61.070035885285900,81.321999904862900,80.947948754779200
1995-08-01,45.526934515879000,72.428867122315300,17.1849833271507000,26.798504842700000,45.597997504527300,61.659527861923700
1995-09-01,53.491170213812500,22.220675457679500,17.1347605643681000,54.076568442123600,50.335960247569000,60.015535599882400
1995-10-01,80.552721464010500,129.892707528414000,48.0780440028469000,81.518890816261300,100.232392166516000,88.989892459380000
1995-11-01,90.588752852227100,80.322723466271200,33.0337545221496000,87.082009986507200,128.345432527673000,53.618335461801100
1995-12-01,111.602312679683000,38.871517686024400,34.2565977524421000,94.121341100156100,198.021655582075000,77.551801628000200
